"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Riverdale Pie Guys","103","3.5 star rating","(718) 708-6128","Medium","Pizza、 Italian","North Riverdale","5784 Mosholu Ave","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout","true","true"
"Frank’s Pizzeria","104","4.5 star rating","(718) 597-3333","Low","Pizza、 Salad、 Italian","Country Club","2823 Middletown Rd","Bronx","10:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Feroza’s","105","4 star rating","(718) 405-9081","Low","Trinidadian","Pelham Gardens","716 Burke Ave","Bronx","11:00 AM - 9:00 PM",,"false","false"
"Cinco De Mayo","106","3.5 star rating","(718) 676-9444","Low","Mexican","Melrose","837 Washington Ave","Bronx","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Mangia’s Brick Oven Pizza and Pasta","106","3.5 star rating","(718) 597-4992","Low","Pizza","Pelham Bay","1760 Crosby Ave","Bronx","10:00 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Escape Latino","107","4 star rating","(718) 684-1860","Medium","Latin American、 Wine Bars","Pelham Bay","1841 Hobart Ave","Bronx","2:30 PM - 10:30 PM","Delivery、Takeout","true","true"
"Moon Star Grill","109","4 star rating","(718) 432-2570","Medium","Asian Fusion、 Vietnamese","Riverdale","3519-25 Johnson Ave","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout","true","true"
"Flame","110","4 star rating","(718) 884-2828","Unknown",,"Kingsbridge","5740 Broadway","Bronx","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Ellie’s Diner","109","3 star rating","(718) 239-9870","Medium","Diners","Parkchester","58 Metropolitan Oval","Bronx","7:00 AM - 8:00 PM","Delivery、Takeout","true","true"
"Muscle Maker Grill","110","4 star rating","(718) 822-6991","Medium","American (New)","Throgs Neck","4041 E Tremont Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Patsy’s Pizzeria","112","3 star rating","(718) 676-2527","Medium","Italian、 Pizza","Morris Park","980 Morris Park Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Icehouse Cafe Waterfront Restaurant","117","3.5 star rating","(718) 863-5580","Medium","Italian、 Seafood、 Venues & Event Spaces","Throgs Neck","140 Reynolds Ave","Bronx","12:00 PM - 9:00 PM",,"false","false"
"Step In Restaurant","117","3.5 star rating","(718) 822-0562","Medium","Lounges、 American (Traditional)","Parkchester","1309 Metropolitan Ave","Bronx","11:00 AM - 2:00 AM (Next day)","Delivery","true","false"
"Vistamar","117","3.5 star rating","(718) 709-0888","High","Seafood、 Latin American、 Venues & Event Spaces","City Island","565 City Island Ave","Bronx","2:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、DIY meal kits、Heated outdoor seating、Indoor dining","true","true"
"G-Bar","118","3 star rating","(718) 402-6996","Medium","Lounges、 Italian","Concourse Village","575 Grand Concourse","Bronx","11:00 AM - 12:00 AM (Next day)",,"false","false"
"Louie’s Dale Diner","119","3.5 star rating","(718) 549-4445","Medium","Diners、 Breakfast & Brunch、 Burgers","Kingsbridge","189 W 231st St","Bronx","Open 24 hours","Outdoor seating、Delivery、Takeout","true","true"
"The Barbecue Pit","119","3.5 star rating","(718) 514-7317","Medium","Barbeque、 Comfort Food、 Seafood","North Riverdale","5788 Mosholu Ave","Bronx","12:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Milk Burger","120","4 star rating","(212) 360-1988","Medium","Burgers、 Salad","Mott Haven","148 Bruckner Blvd","Bronx","11:00 AM - 8:00 PM","Takeout","false","true"
"Flavas International Grill","132","4 star rating","(718) 292-2900","Medium","Caribbean、 Soul Food、 Juice Bars & Smoothies","Concourse Village","854 Gerard Ave","Bronx","11:00 AM - 9:00 PM","Delivery、Takeout","true","true"
