"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout","image"
"Babbo","2419","4 star rating","(212) 777-0303","Very High","Italian","Greenwich Village","110 Waverly Pl","Manhattan","5:00 PM - 11:00 PM","Takeout、Curbside pickup、Sit-down dining、Outdoor seating","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/q5C3VQRIzsOoCGrZvjkFHw/ls.jpg"
"Magnolia Bakery West Village","2430","3 star rating","(212) 462-2572","Medium","Bakeries、 Desserts、 Cupcakes","West Village","401 Bleecker St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/fqN9-uf9O3qyY8q5qj8ENA/ls.jpg"
"Saigon Shack","2434","4 star rating","(212) 228-0588","Low","Sandwiches、 Coffee & Tea、 Salad","Greenwich Village","114 Macdougal St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/TlIH3rCYMec53AszcOtMXQ/ls.jpg"
"ilili","2439","4 star rating","(212) 683-2929","High","Mediterranean、 Lebanese、 Cocktail Bars","Flatiron","236 5th Ave","Manhattan","12:00 PM - 3:30 PM, 5:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/uDoD1yzG5naCvmFYmklyAg/ls.jpg"
"Calle Ocho","2527","4 star rating","(212) 873-5025","Medium","Cuban、 Latin American","Manhattan Valley","2756 Broadway","Manhattan","11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/Sb621JDfZXxc3aFWGNb-Ow/ls.jpg"
"Empanada Mama - Hell’s Kitchen","2539","4 star rating","(212) 698-9008","Low","Latin American、 Food Delivery Services、 Burgers","Hell's Kitchen","765 9th Ave","Manhattan","8:00 AM - 5:00 AM (Next day)","Delivery、Sit-down dining、Outdoor seating、Indoor dining","true","false","https://s3-media0.fl.yelpcdn.com/bphoto/KskFKH3-97U1hGd1IELAjw/ls.jpg"
"Magnolia Bakery Rockefeller Center","2558","3.5 star rating","(212) 767-1123","Medium","Desserts、 Bakeries、 Cupcakes","Theater District","1240 Ave of the Americas","Manhattan","9:00 AM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/fSq3zjaIlaxP6nRZ85liKA/ls.jpg"
"Le Bernardin","2559","4.5 star rating","(212) 554-1515","Very High","French、 Lounges","Theater District","155 W 51st St","Manhattan","5:30 PM - 11:00 PM","Sit-down dining、Outdoor seating","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/c54rsVNmAhn_Ccz4tIXI_Q/ls.jpg"
"Central Park Conservancy","2567","5 star rating","(212) 310-6600","Unknown",,"Upper East Side","14 E 60th St","Manhattan","6:00 AM - 1:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/FoI4L3CPkw7Kq3KLC9lq7Q/ls.jpg"
"Veniero’s","2103","4 star rating","(212) 674-7264","Medium","Bakeries、 Desserts、 Italian","East Village","342 E 11th St","Manhattan","8:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/pMtdkncb9gTkja1DX0Tp6Q/ls.jpg"
"La Esquina - SoHo","2045","3.5 star rating","(646) 613-7100","Medium","Latin American、 Breakfast & Brunch、 Mexican","Nolita","114 Kenmare St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/OKbbMhOq8jd2kF0mtPKuwg/ls.jpg"
"Nom Wah Tea Parlor","2054","3.5 star rating","(212) 962-6047","Medium","Dim Sum","Chinatown","13 Doyers St","Manhattan","12:00 PM - 8:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/0V1MsOVh71dKhtPgcGUGcQ/ls.jpg"
"Sugar Sweet Sunshine Bakery","2074","4 star rating","(212) 995-1960","Low","Bakeries、 Desserts、 Cupcakes","Lower East Side","126 Rivington St","Manhattan","10:00 AM - 8:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/mK4J_NrzxZmmbP-ND6w0gg/ls.jpg"
"BCD Tofu House","2077","4 star rating","(212) 967-1900","Medium","Korean","Koreatown","5W 32nd St","Manhattan","11:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Eg98gCBkeIuRzGCZhuS3Tg/ls.jpg"
"Freemans","2080","4 star rating","(212) 420-0012","Medium","Breakfast & Brunch、 Lounges、 American (Traditional)","Lower East Side","Freeman Alley","Manhattan","11:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/u8-TgAt7tq_VQXj-fXPMCQ/ls.jpg"
"John’s of Bleecker Street","2088","4 star rating","(212) 243-1680","Medium","Pizza","West Village","278 Bleecker St","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/azvVfskp-0QuI4G51R8_VA/ls.jpg"
"American Museum of Natural History","2097","4 star rating","(212) 769-5100","Unknown",,"Upper West Side","200 Central Park W","Manhattan","10:00 AM - 5:30 PM","Virtual tours","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/SMpxO6efdmCBvRdQJiPQFg/ls.jpg"
"Nyonya","2103","4 star rating","(212) 334-3669","Medium","Asian Fusion、 Malaysian、 Chinese","Little Italy","199 Grand St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/YuWC1Gwo7ku4PvD-7mDQnA/ls.jpg"
"5 Napkin Burger Hell’s Kitchen","2102","3.5 star rating","(212) 757-2277","Medium","Burgers","Midtown West","630 9th Ave","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/jL6826b9S7BpLRNm-545zw/ls.jpg"
"NY Pizza Suprema","2042","4 star rating","(212) 594-8939","Low","Pizza","Chelsea","413 8th Ave","Manhattan","10:30 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/EqbDXneMuQP6pw6GemVdQA/ls.jpg"
"The Museum of Modern Art","1994","4.5 star rating","(212) 708-9400","Unknown",,"Midtown West","11 West 53rd St","Manhattan","10:30 AM - 7:00 PM","In-person visits","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UlIUYAS-Ux0ngZmad3urHQ/ls.jpg"
"Toloache 50","1997","4 star rating","(212) 581-1818","Medium","Mexican","Theater District","251 West 50th St","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/m5yGUnpSxMB0KaxgwwXMQA/ls.jpg"
"L’Artusi","1899","4.5 star rating","(212) 255-5757","High","Italian、 Cocktail Bars","West Village","228 W 10th St","Manhattan","12:00 PM - 10:00 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/I6GySxIEaWaA2n5v7yCl3w/ls.jpg"
"Zen Ramen & Sushi","1824","4.5 star rating","(646) 870-7509","Medium","Sushi Bars、 Ramen、 Salad","Midtown West","150 W 36th street","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/-W7fV5FcFuq-KGw_IT_fow/ls.jpg"
"McSorleys Old Ale House","1781","4.5 star rating","(212) 473-9148","Low","Dive Bars、 Breweries、 Beer Bar","East Village","15 E 7th St","Manhattan","11:00 AM - 1:00 AM (Next day)","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/rMVnbtW504_4qK93_9Fy9w/ls.jpg"
"Ayza Wine & Chocolate Bar","1786","4 star rating","(212) 714-2992","Medium","Wine Bars、 Desserts、 Mediterranean","Koreatown","11 W 31st St","Manhattan","11:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/NBmSmFpDQudnoawfw8pdrw/ls.jpg"
"Please Don’t Tell","1788","4 star rating","(212) 614-0386","High","Lounges、 Speakeasies","East Village","113 St Marks Pl","Manhattan","6:00 PM - 3:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/zk1RQhSYBQ7Dy9-QyDaVSQ/ls.jpg"
"Tanner Smiths","1788","4.5 star rating","(646) 590-2034","Medium","Cocktail Bars、 American (New)、 Beer Bar","Midtown West","204 W 55th St","Manhattan","12:00 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/PN_BcUZc15I9PuT2bF_mjw/ls.jpg"
"Buvette","1792","4 star rating","(212) 255-3590","Medium","French、 Wine Bars、 Cocktail Bars","West Village","42 Grove St","Manhattan","8:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UqIVpvNkryz5GJi3LedwFQ/ls.jpg"
"Golden Unicorn","1793","3.5 star rating","(212) 941-0911","Medium","Dim Sum、 Cantonese","Chinatown","18 E Broadway","Manhattan","9:30 AM - 8:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/jfQVal9u0RMr03xX6GkPsA/ls.jpg"
"Sushi Yasaka","1794","4 star rating","(212) 496-8460","Medium","Japanese、 Sushi Bars","Upper West Side","251 W 72nd St","Manhattan","12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/_U6FaHQbA_44sUQBVlI9_Q/ls.jpg"
"Dallas BBQ","1796","3 star rating","(212) 221-9000","Medium","Barbeque、 American (Traditional)","Midtown West","241 W 42nd St","Manhattan","11:00 AM - 1:30 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/RZbfuQrjihJFH9q1dYjtUg/ls.jpg"
"Yuca Bar","1833","4 star rating","(212) 982-9533","Medium","Latin American、 Tapas Bars、 Cocktail Bars","East Village","111 Avenue A","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/jP2eHFr9p6EOzDOFh7es3A/ls.jpg"
"Sarabeths - Central Park","1834","3.5 star rating","(212) 826-5959","Medium","Breakfast & Brunch、 American (Traditional)、 Cocktail Bars","Midtown West","40 Central Park S","Manhattan","8:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/6mHMwDA0YksJQt88Nm7u0g/ls.jpg"
"Sylvia’s Restaurant","1866","3.5 star rating","(212) 996-0660","Medium","Southern、 Soul Food、 Seafood","Harlem","328 Malcolm X Blvd","Manhattan","8:00 AM - 10:30 PM","Takeout、Sit-down dining、Outdoor seating","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/bB8nCnQIG9gQLt6jIlA6gw/ls.jpg"
"Miss KOREA BBQ","1876","3.5 star rating","(212) 594-4963","Medium","Korean、 Barbeque","Koreatown","10 W 32nd St","Manhattan","10:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Aep13M2z7VkF3Ub0bCMoCw/ls.jpg"
"Upstate Craft Beer & Oyster Bar","1885","4.5 star rating","(646) 791-5400","Medium","Seafood","East Village","95 1st Ave","Manhattan","5:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RvnUVU7MF7DT0RzNL-EebQ/ls.jpg"
"Jean-Georges","1889","4 star rating","(212) 299-3900","Very High","French、 American (New)、 Asian Fusion","Upper West Side","1 Central Park W","Manhattan","8:00 AM - 10:30 AM, 12:00 PM - 2:30 PM, 5:00 PM - 9:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/tSJhcc9W1wb9peait1pMLg/ls.jpg"
"99 Favor Taste","1895","4 star rating","(646) 682-9162","Medium","Chinese、 Hot Pot、 Barbeque","Lower East Side","285 Grand St","Manhattan","11:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RPkySaBzhndYeT-sszbHtA/ls.jpg"
"Ladurée Madison","1906","4.5 star rating","(646) 558-3157","High","Macarons、 Patisserie/Cake Shop、 Tea Rooms","Upper East Side","864 Madison Ave","Manhattan","10:00 AM - 7:00 PM","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/zcqt41_BF_GopMJzNehmgQ/ls.jpg"
"Tsurutontan Udon Noodle Brasserie","1920","4 star rating","(212) 989-1000","Medium","Japanese、 Noodles、 Soup","Union Square","21 E 16th St","Manhattan","12:00 PM - 8:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/S1XMhxctHZBhMu-qJegLdw/ls.jpg"
"Alta","1921","4 star rating","(212) 505-7777","High","Tapas Bars、 Mediterranean、 Spanish","Greenwich Village","64 W 10th St","Manhattan","5:00 PM - 9:45 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/aUWGUNBLw-mbQZOzJ9-Pdw/ls.jpg"
"Cafe Mogador","1927","4 star rating","(212) 677-2226","Medium","Moroccan、 Middle Eastern、 Breakfast & Brunch","East Village","101 St Marks Pl","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/4cQaXVpbgL8lm0hqpQGmwQ/ls.jpg"
"The Boil","1950","4 star rating","(212) 925-8815","Medium","Cajun/Creole、 Seafood、 Live/Raw Food","Lower East Side","139 Chrystie St","Manhattan","3:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/oWCJBXN8cM-nGi83pNqc5g/ls.jpg"
"Bengal Tiger Indian Food","1955","4.5 star rating","(212) 265-2703","Medium","Indian","Midtown West","58 W 56th St","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UIX06NFq1Ux1mX4BGwMtGA/ls.jpg"
"Scarpetta","1959","4 star rating","(212) 691-0555","High","Italian、 Bars、 Desserts","Flatiron","88 Madison Ave","Manhattan","5:00 PM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/rinYP3lyShbUzJviQ92yIg/ls.jpg"
"Jack’s Wife Freda","1965","4 star rating","(212) 510-8550","Medium","Breakfast & Brunch、 Mediterranean、 American (New)","SoHo","224 Lafayette St","Manhattan","10:00 AM - 10:00 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/-4nDDP8HW7P2hT64k-BzdQ/ls.jpg"
"Quality Meats","1984","4 star rating","(212) 371-7777","Very High","Steakhouses、 Salad、 Desserts","Midtown West","57 W 58th St","Manhattan","4:00 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/gh0ikMYn3Bh9in81O-TD3w/ls.jpg"
"Jongro BBQ","2026","4 star rating","(212) 473-2233","Medium","Korean、 Barbeque、 Beer Bar","Koreatown","22 W 32nd St","Manhattan","11:30 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/G0IeLwvmss-QsBu1ZWEIfg/ls.jpg"
"Empire State Building","2013","4 star rating","(212) 736-3100","Unknown",,"Koreatown","20 W 34th St","Manhattan","12:00 PM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/gPgGTffsbNMdccW0ahRcNg/ls.jpg"
"Essex","2033","3.5 star rating","(212) 533-9616","High","Bars、 American (New)","Lower East Side","124 Rivington St","Manhattan","10:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/NaF9UwAGVhg625qZ4hXevw/ls.jpg"
"Turntable Chicken Jazz","2033","4 star rating","(212) 714-9700","Medium","Chicken Wings、 Korean、 Gastropubs","Koreatown","20 W 33rd St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/9Ym1aFMnj6eqEBZngQg3Iw/ls.jpg"
"Barn Joo 35","2034","4.5 star rating","(212) 564-4430","Medium","Korean、 Gastropubs、 Tapas/Small Plates","Midtown West","34 W 35th St","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/h4zKOxpPuJ958w8S43Wu4A/ls.jpg"
"Schmackary’s","2038","4 star rating","(646) 801-9866","Low","Desserts、 Bakeries、 Coffee & Tea","Midtown West","362 W 45th St","Manhattan","12:00 PM - 10:00 PM","Delivery、Outdoor seating","true","false","https://s3-media0.fl.yelpcdn.com/bphoto/_BA179tvEazDc85G6jzR0A/ls.jpg"
"Mighty Quinn’s Barbeque","1778","4 star rating","(212) 677-3733","Medium","Barbeque","East Village","103 2nd Ave","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/m5s9mIn8YTJhGrVCrCieJA/ls.jpg"
"Eileen’s Special Cheesecake","1703","4.5 star rating","(212) 966-5585","Low","Bakeries、 Desserts","Nolita","17 Cleveland Pl","Manhattan","11:00 AM - 7:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/WvcJXhOFpDWdcO-ZVXee4g/ls.jpg"
"Shanghai 21","1709","4 star rating","(212) 766-6311","Medium","Shanghainese","Chinatown","21 Mott St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/1rNQzY87fKHPOEexZIGHGg/ls.jpg"
"Red Bamboo","1718","4 star rating","(212) 260-1212","Medium","Vegetarian、 Soul Food、 Vegan","Greenwich Village","140 W 4th St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/dvbsjK-TA2KpUyMun7T7Nw/ls.jpg"
"Tim Ho Wan","1711","3.5 star rating","(212) 228-2800","Medium","Dim Sum、 Cantonese","East Village","85 4th Ave","Manhattan","11:00 AM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2XTvXWBYR1zpiW1MXAxUZA/ls.jpg"
"Claw Daddy’s","1739","4 star rating","(646) 590-6816","Medium","Cajun/Creole、 Seafood","Lower East Side","185 Orchard St","Manhattan","12:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RCru71cTtO-TtqRw50rc2w/ls.jpg"
"Sakagura","1775","4 star rating","(212) 953-7253","High","Japanese","Midtown East","211 E 43rd St","Manhattan","5:30 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Cx5kE2hR-Lm0OrmM1NW-nQ/ls.jpg"
"Poco - NYC","1693","3.5 star rating","(212) 228-4461","Medium","Tapas Bars、 Spanish","Alphabet City","33 Avenue B","Manhattan","11:00 AM - 5:00 PM, 6:30 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/fSfM1DbcrOTpvWR0m3SCIg/ls.jpg"
"Per Se","1664","4.5 star rating","(212) 823-9335","Very High","French","Hell's Kitchen","10 Columbus Cir","Manhattan","5:00 PM - 9:00 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/ljK3mGoZU9iIoO_j-NzAjA/ls.jpg"
"Café China","1673","4 star rating","(212) 213-2810","Medium","Szechuan","Midtown East","13 E 37th St","Manhattan","11:00 AM - 10:30 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UhHqxEX2epOvrBFI2pgRzg/ls.jpg"
"Root & Bone","1622","4 star rating","(646) 682-7080","Medium","Southern、 Comfort Food、 Desserts","Alphabet City","200 E 3rd St","Manhattan","10:00 AM - 4:00 PM, 5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/wvua8sLOp181T_Sb41MLJg/ls.jpg"
"Minca","1675","4 star rating","(212) 505-8001","Medium","Ramen","East Village","536 E 5th St","Manhattan","12:00 PM - 8:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/568nXQT_kAatscSBaIcdBA/ls.jpg"
"Yakitori Taisho","1585","3.5 star rating","(212) 228-5086","Medium","Japanese","East Village","5 St Marks Pl","Manhattan","6:00 PM - 4:00 AM (Next day)","Sit-down dining、Outdoor seating、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/B7w1ocMk86mhwkZ6fvlzOw/ls.jpg"
"Wah Fung No 1","1550","4.5 star rating","(212) 925-5175","Low","Chinese、 Fast Food","Lower East Side","79 Chrystie St","Manhattan","9:00 AM - 7:00 PM","Social distancing enforced、Staff wears masks、Staff wears gloves、Masks required","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/oMriteKj4yYHMmb8myOgJA/ls.jpg"
"Dough","1550","4 star rating","(212) 243-6844","Low","Desserts、 Donuts、 Bakeries","Flatiron","14 W 19th St","Manhattan","6:00 AM - 9:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/Mg3YZ1U-UpkFCCiaL5Remw/ls.jpg"
"Spice","1550","3.5 star rating","(212) 982-3758","Medium","Thai、 Cocktail Bars","Union Square","39 E 13th St","Manhattan","12:30 PM - 11:30 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/Xv-vdQlggFKMY9lyVdd3aA/ls.jpg"
"Lupa","1558","4 star rating","(212) 982-5089","High","Italian","Greenwich Village","170 Thompson St","Manhattan","12:00 PM - 12:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/OdUK7zgusaMmPzToZuq3tA/ls.jpg"
"BoCaphe","1564","4 star rating","(646) 882-1939","Medium","Vietnamese、 Breakfast & Brunch、 French","SoHo","222 Lafayette St","Manhattan","9:30 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/ffH2uivBehucfzNsFaOqQg/ls.jpg"
"Cuba Restaurant and Rum Bar","1576","4 star rating","(212) 420-7878","Medium","Cuban","Greenwich Village","222 Thompson St","Manhattan","12:00 PM - 12:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/sGW1c_plm14yarqFeUbLGw/ls.jpg"
"The Breslin","1578","3.5 star rating","(212) 679-1939","High","Gastropubs","Flatiron","16 W 29th St","Manhattan","12:00 PM - 9:00 PM","Takeout","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/ptkJzIJrbPgtDTJ_UBktIA/ls.jpg"
"The Dead Rabbit","1580","4 star rating","(646) 422-7906","Medium","Cocktail Bars","Financial District","30 Water St","Manhattan","12:00 PM - 11:00 PM","Curbside pickup","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/_4T5R0HHhASROheby-TXDA/ls.jpg"
"The Mercer Kitchen","1581","3.5 star rating","(212) 966-5454","Medium","American (New)、 French、 Cocktail Bars","SoHo","99 Prince St","Manhattan","7:00 AM - 1:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/2kD9CGQ-T4M6Tz8s_HhR6w/ls.jpg"
"Ferrara Bakery & Cafe","1581","3.5 star rating","(212) 226-6150","Medium","Bakeries、 Desserts、 Gelato","Little Italy","195 Grand St","Manhattan","9:00 AM - 11:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/bmJabXEt4mcL99W8PFXi5w/ls.jpg"
"Ladurée SoHo","1589","3.5 star rating","(646) 392-7868","High","Tea Rooms、 Macarons、 Patisserie/Cake Shop","South Village","398 W Broadway","Manhattan","9:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、In-store shopping","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/kOU2qgsrtRcxA5W75S2UEg/ls.jpg"
"Virgil’s Real BBQ - New York","1595","3.5 star rating","(212) 921-9494","Medium","Barbeque、 Venues & Event Spaces、 American (Traditional)","Theater District","152 W 44th St","Manhattan","8:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/hoBRXd1fW4pItGUfzEntHg/ls.jpg"
"Dutch Freds","1597","4.5 star rating","(646) 918-6923","Medium","Cocktail Bars、 American (New)、 Breakfast & Brunch","Theater District","307 W 47th St","Manhattan","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/F5fSQkZSmWf_JEkcFUpcyA/ls.jpg"
"Boucherie West Village","1598","4.5 star rating","(212) 837-1616","High","French、 Cocktail Bars、 Steakhouses","West Village","99 7th Ave S","Manhattan","10:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/gGTUB2AHF7sK5u-wdjO8DA/ls.jpg"
"Congee Village","1606","3.5 star rating","(212) 941-1818","Medium","Cantonese、 Seafood","Lower East Side","100 Allen St","Manhattan","11:00 AM - 8:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Nccuu7yqWhOiEtuqozq9DA/ls.jpg"
"La Sirène-Soho","1611","4.5 star rating","(212) 925-3061","High","French","South Village","558 Broome St","Manhattan","4:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/L7cSgPVmrKJosZatGJKvBg/ls.jpg"
"Patzeria Perfect Pizza","1613","4 star rating","(212) 575-7646","Low","Pizza、 Italian、 Breakfast & Brunch","Theater District","231 W 46th St","Manhattan","7:00 AM - 1:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/w62on7rHWF6ZNTVy6M6RuQ/ls.jpg"
"Sugar Factory","1630","3.5 star rating","Unknown","High","Desserts、 Candy Stores、 American (Traditional)","Unknown","835 Washington St","Manhattan","11:00 AM - 2:00 AM (Next day)","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/4YFjW4bcfHjwtUCfp2oLJw/ls.jpg"
