"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout","image"
"Taverna Kyclades","2363","4 star rating","(718) 545-8666","Medium","Seafood、 Greek、 Mediterranean","Astoria","3307 Ditmars Blvd","Queen","12:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/r9Trml9UyAFgfRwlaqqShA/ls.jpg"
"Izakaya MEW","2360","4 star rating","(646) 368-9384","Medium","Tapas Bars、 Sushi Bars、 Izakaya","Midtown West","53 W 35th St","Manhattan","12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/cL9AZlSoyBFPr8QkyFfnWw/ls.jpg"
"Rubirosa","2359","4.5 star rating","(212) 965-0500","Medium","Italian、 Pizza","Nolita","235 Mulberry St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/LuSzR8cpVQRofXOT_bMi1A/ls.jpg"
"The High Line","2359","4.5 star rating","(212) 206-9922","Unknown",,"Meatpacking District","820 Washington St","Manhattan","10:00 AM - 6:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/EmcYudpGFlDRclkARn2UfA/ls.jpg"
"Trattoria Trecolori","2358","4 star rating","(212) 997-4540","Medium","Italian","Theater District","254 West 47th St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/nL_iTlbmA__6yNAAj1Xldg/ls.jpg"
"Havana Central","2357","4 star rating","(212) 398-7440","Medium","Cuban、 Latin American","Theater District","151 W 46th St","Manhattan","12:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2prfKoDI3k9RiniHo3iVkg/ls.jpg"
"Pio Pio 8","2351","4 star rating","(212) 459-2929","Medium","Latin American、 Peruvian","Hell's Kitchen","604 10th Ave","Manhattan","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/EudNGODUe39iCHZi9PiPIw/ls.jpg"
"Catch NYC","2329","3.5 star rating","(212) 392-5978","High","Asian Fusion、 Sushi Bars、 Seafood","Meatpacking District","21 9th Ave","Manhattan","11:30 AM - 3:30 PM, 5:30 PM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/mVz9OJCd7DRnsl6intQmfw/ls.jpg"
"Burger Joint","2305","3.5 star rating","(212) 708-7414","Medium","American (Traditional)、 Burgers","Midtown West","119 W 56th St","Manhattan","11:00 AM - 8:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/l6V8FttRctV4SmzvaiyMvw/ls.jpg"
"Juliana’s","2292","4.5 star rating","(718) 596-6700","Medium","Pizza","DUMBO","19 Old Fulton St","Brooklyn","12:00 PM - 3:15 PM, 4:00 PM - 8:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/ls.jpg"
"Russ & Daughters","2287","4.5 star rating","(212) 475-4880","Medium","Bagels、 Smokehouse、 Bakeries","Lower East Side","179 E Houston St","Manhattan","9:00 AM - 4:00 PM","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/EN-MJ-kuk_-ihX1_DKHgFA/ls.jpg"
"Bogota Latin Bistro","2272","4 star rating","(718) 230-3805","Medium","Gluten-Free、 Colombian","Park Slope","141 5th Ave","Brooklyn","10:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/yYltUshJt57StB0F42SWZQ/ls.jpg"
"Fette Sau","2262","4 star rating","(718) 963-3404","Medium","Barbeque、 Cocktail Bars","Williamsburg - North Side","354 Metropolitan Ave","Brooklyn","12:00 PM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/LhLuFryDtHTGDBytD09Kcg/ls.jpg"
"Minetta Tavern","2226","4 star rating","(212) 475-3850","High","French、 American (New)、 Breakfast & Brunch","Greenwich Village","113 Macdougal St","Manhattan","11:00 AM - 3:30 PM, 4:30 PM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/uMGD3p2lKLGfa3F5-FZxyw/ls.jpg"
"S’MAC","2217","3.5 star rating","(212) 358-7912","Medium","American (Traditional)、 Gluten-Free、 Vegetarian","East Village","197 1st Ave","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/v0WNAlbgqS0IN3NVw98tSw/ls.jpg"
"Eleven Madison Park","2192","4.5 star rating","(212) 889-0905","Very High","American (New)、 French、 Cocktail Bars","Flatiron","11 Madison Ave","Manhattan","12:00 PM - 1:00 PM, 5:30 PM - 10:30 PM","Curbside pickup、Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2hfw1KehM6JG6WqCAyj32A/ls.jpg"
"Soco","2189","4 star rating","(718) 783-1936","Medium","Cajun/Creole、 Barbeque、 Soul Food","Clinton Hill","509 Myrtle Ave","Brooklyn","12:00 PM - 9:30 PM","Takeout、Sit-down dining、Indoor dining","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/MQqWdJcIgIgtSI3UiVHS6A/ls.jpg"
"Penelope","2187","3.5 star rating","(212) 481-3800","Medium","American (Traditional)、 Breakfast & Brunch、 American (New)","Kips Bay","159 Lexington Ave","Manhattan","9:00 AM - 9:00 PM","Sit-down dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/5gxby8stSAIftZsWju4IAw/ls.jpg"
"Hill Country Barbecue Market","2183","3.5 star rating","(212) 255-4544","Medium","Barbeque、 Southern、 Bars","Flatiron","30 W 26th St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/mjHUf6zqciWfxX6qmM1cBQ/ls.jpg"
"Supreme Restaurant","2166","3.5 star rating","(212) 966-3988","Low","Shanghainese、 Dim Sum","Chinatown","100 Mott St","Manhattan","11:30 AM - 10:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/ufge_7wMK3EKe-asFmiyVg/ls.jpg"
"John’s of Times Square","2158","3.5 star rating","(212) 391-7560","Medium","Pizza","Midtown West","260 W 44th St","Manhattan","12:00 PM - 7:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Bv0JmER-bqicw7H25S2NYw/ls.jpg"
"Cookshop","2133","4 star rating","(212) 924-4440","Medium","American (New)、 Breakfast & Brunch、 Wine Bars","Chelsea","156 10th Ave","Manhattan","10:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/BVNl4RPKVrw2tYtYfiRWBw/ls.jpg"
"Sushi Yasuda","2133","4 star rating","(212) 972-1001","High","Japanese","Midtown East","204 E 43rd St","Manhattan","4:00 PM - 9:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/z6GvhobHxGaKtpfXBFd5Lg/ls.jpg"
"Marea","2109","4 star rating","(212) 582-5100","High","Italian、 Seafood、 Wine Bars","Midtown West","240 Central Park S","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/-7_hUV0_zqVzsbqNOJ_iMA/ls.jpg"
"Veniero’s","2103","4 star rating","(212) 674-7264","Medium","Bakeries、 Desserts、 Italian","East Village","342 E 11th St","Manhattan","8:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/pMtdkncb9gTkja1DX0Tp6Q/ls.jpg"
"Nyonya","2103","4 star rating","(212) 334-3669","Medium","Asian Fusion、 Malaysian、 Chinese","Little Italy","199 Grand St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/YuWC1Gwo7ku4PvD-7mDQnA/ls.jpg"
"Martha’s Country Bakery","2103","4 star rating","(718) 544-0088","Medium","Bakeries、 Coffee & Tea、 Desserts","Forest Hills","70-28 Austin St","Queen","6:30 AM - 11:00 PM","Social distancing enforced","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/9Y7hyDX66_t1dy2u_PbWjQ/ls.jpg"
"5 Napkin Burger Hell’s Kitchen","2102","3.5 star rating","(212) 757-2277","Medium","Burgers","Midtown West","630 9th Ave","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/jL6826b9S7BpLRNm-545zw/ls.jpg"
"Butcher Bar","2101","4 star rating","(718) 606-8140","Medium","Barbeque、 Burgers","Astoria","37-10 30th Ave","Queen","10:30 AM - 11:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/iUgfHJ6gpmvQHCwp23XpHg/ls.jpg"
"American Museum of Natural History","2097","4 star rating","(212) 769-5100","Unknown",,"Upper West Side","200 Central Park W","Manhattan","10:00 AM - 5:30 PM","Virtual tours","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/SMpxO6efdmCBvRdQJiPQFg/ls.jpg"
"John’s of Bleecker Street","2088","4 star rating","(212) 243-1680","Medium","Pizza","West Village","278 Bleecker St","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/azvVfskp-0QuI4G51R8_VA/ls.jpg"
"Freemans","2080","4 star rating","(212) 420-0012","Medium","Breakfast & Brunch、 Lounges、 American (Traditional)","Lower East Side","Freeman Alley","Manhattan","11:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/u8-TgAt7tq_VQXj-fXPMCQ/ls.jpg"
"BCD Tofu House","2077","4 star rating","(212) 967-1900","Medium","Korean","Koreatown","5W 32nd St","Manhattan","11:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Eg98gCBkeIuRzGCZhuS3Tg/ls.jpg"
"Sugar Sweet Sunshine Bakery","2074","4 star rating","(212) 995-1960","Low","Bakeries、 Desserts、 Cupcakes","Lower East Side","126 Rivington St","Manhattan","10:00 AM - 8:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/mK4J_NrzxZmmbP-ND6w0gg/ls.jpg"
"Nom Wah Tea Parlor","2054","3.5 star rating","(212) 962-6047","Medium","Dim Sum","Chinatown","13 Doyers St","Manhattan","12:00 PM - 8:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/0V1MsOVh71dKhtPgcGUGcQ/ls.jpg"
"Sweet Chick","2046","4 star rating","(347) 725-4793","Medium","Southern、 Breakfast & Brunch、 American (Traditional)","Williamsburg - North Side","164 Bedford Ave","Brooklyn","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/PVVNNTV42TTRzGU6-GwJew/ls.jpg"
"La Esquina - SoHo","2045","3.5 star rating","(646) 613-7100","Medium","Latin American、 Breakfast & Brunch、 Mexican","Nolita","114 Kenmare St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/OKbbMhOq8jd2kF0mtPKuwg/ls.jpg"
"NY Pizza Suprema","2042","4 star rating","(212) 594-8939","Low","Pizza","Chelsea","413 8th Ave","Manhattan","10:30 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/EqbDXneMuQP6pw6GemVdQA/ls.jpg"
"Schmackary’s","2038","4 star rating","(646) 801-9866","Low","Desserts、 Bakeries、 Coffee & Tea","Midtown West","362 W 45th St","Manhattan","12:00 PM - 10:00 PM","Delivery、Outdoor seating","true","false","https://s3-media0.fl.yelpcdn.com/bphoto/_BA179tvEazDc85G6jzR0A/ls.jpg"
"Barn Joo 35","2034","4.5 star rating","(212) 564-4430","Medium","Korean、 Gastropubs、 Tapas/Small Plates","Midtown West","34 W 35th St","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/h4zKOxpPuJ958w8S43Wu4A/ls.jpg"
"Essex","2033","3.5 star rating","(212) 533-9616","High","Bars、 American (New)","Lower East Side","124 Rivington St","Manhattan","10:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/NaF9UwAGVhg625qZ4hXevw/ls.jpg"
"Turntable Chicken Jazz","2033","4 star rating","(212) 714-9700","Medium","Chicken Wings、 Korean、 Gastropubs","Koreatown","20 W 33rd St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/9Ym1aFMnj6eqEBZngQg3Iw/ls.jpg"
"Jongro BBQ","2026","4 star rating","(212) 473-2233","Medium","Korean、 Barbeque、 Beer Bar","Koreatown","22 W 32nd St","Manhattan","11:30 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/G0IeLwvmss-QsBu1ZWEIfg/ls.jpg"
"Empire State Building","2013","4 star rating","(212) 736-3100","Unknown",,"Koreatown","20 W 34th St","Manhattan","12:00 PM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/gPgGTffsbNMdccW0ahRcNg/ls.jpg"
"Toloache 50","1997","4 star rating","(212) 581-1818","Medium","Mexican","Theater District","251 West 50th St","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/m5yGUnpSxMB0KaxgwwXMQA/ls.jpg"
"The Museum of Modern Art","1994","4.5 star rating","(212) 708-9400","Unknown",,"Midtown West","11 West 53rd St","Manhattan","10:30 AM - 7:00 PM","In-person visits","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UlIUYAS-Ux0ngZmad3urHQ/ls.jpg"
"Quality Meats","1984","4 star rating","(212) 371-7777","Very High","Steakhouses、 Salad、 Desserts","Midtown West","57 W 58th St","Manhattan","4:00 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/gh0ikMYn3Bh9in81O-TD3w/ls.jpg"
"Jack’s Wife Freda","1965","4 star rating","(212) 510-8550","Medium","Breakfast & Brunch、 Mediterranean、 American (New)","SoHo","224 Lafayette St","Manhattan","10:00 AM - 10:00 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/-4nDDP8HW7P2hT64k-BzdQ/ls.jpg"
"Scarpetta","1959","4 star rating","(212) 691-0555","High","Italian、 Bars、 Desserts","Flatiron","88 Madison Ave","Manhattan","5:00 PM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/rinYP3lyShbUzJviQ92yIg/ls.jpg"
"Bengal Tiger Indian Food","1955","4.5 star rating","(212) 265-2703","Medium","Indian","Midtown West","58 W 56th St","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UIX06NFq1Ux1mX4BGwMtGA/ls.jpg"
"The Boil","1950","4 star rating","(212) 925-8815","Medium","Cajun/Creole、 Seafood、 Live/Raw Food","Lower East Side","139 Chrystie St","Manhattan","3:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/oWCJBXN8cM-nGi83pNqc5g/ls.jpg"
"Cafe Mogador","1927","4 star rating","(212) 677-2226","Medium","Moroccan、 Middle Eastern、 Breakfast & Brunch","East Village","101 St Marks Pl","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/4cQaXVpbgL8lm0hqpQGmwQ/ls.jpg"
"Alta","1921","4 star rating","(212) 505-7777","High","Tapas Bars、 Mediterranean、 Spanish","Greenwich Village","64 W 10th St","Manhattan","5:00 PM - 9:45 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/aUWGUNBLw-mbQZOzJ9-Pdw/ls.jpg"
"Tsurutontan Udon Noodle Brasserie","1920","4 star rating","(212) 989-1000","Medium","Japanese、 Noodles、 Soup","Union Square","21 E 16th St","Manhattan","12:00 PM - 8:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/S1XMhxctHZBhMu-qJegLdw/ls.jpg"
"Ladurée Madison","1906","4.5 star rating","(646) 558-3157","High","Macarons、 Patisserie/Cake Shop、 Tea Rooms","Upper East Side","864 Madison Ave","Manhattan","10:00 AM - 7:00 PM","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/zcqt41_BF_GopMJzNehmgQ/ls.jpg"
"L’Artusi","1899","4.5 star rating","(212) 255-5757","High","Italian、 Cocktail Bars","West Village","228 W 10th St","Manhattan","12:00 PM - 10:00 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/I6GySxIEaWaA2n5v7yCl3w/ls.jpg"
"Buttermilk Channel","1897","4 star rating","(718) 852-8490","Medium","American (New)、 Breakfast & Brunch","Carroll Gardens","524 Court St","Brooklyn","11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/veEU8n3he4hWvlyzMo8YAQ/ls.jpg"
"99 Favor Taste","1895","4 star rating","(646) 682-9162","Medium","Chinese、 Hot Pot、 Barbeque","Lower East Side","285 Grand St","Manhattan","11:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RPkySaBzhndYeT-sszbHtA/ls.jpg"
"Jean-Georges","1889","4 star rating","(212) 299-3900","Very High","French、 American (New)、 Asian Fusion","Upper West Side","1 Central Park W","Manhattan","8:00 AM - 10:30 AM, 12:00 PM - 2:30 PM, 5:00 PM - 9:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/tSJhcc9W1wb9peait1pMLg/ls.jpg"
"Traif","1888","4.5 star rating","(347) 844-9578","High","American (New)、 Tapas/Small Plates","Williamsburg - South Side","229 S 4th St","Brooklyn","5:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/PpkVfUXlooPy9uejl3zptg/ls.jpg"
"Upstate Craft Beer & Oyster Bar","1885","4.5 star rating","(646) 791-5400","Medium","Seafood","East Village","95 1st Ave","Manhattan","5:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RvnUVU7MF7DT0RzNL-EebQ/ls.jpg"
"Miss KOREA BBQ","1876","3.5 star rating","(212) 594-4963","Medium","Korean、 Barbeque","Koreatown","10 W 32nd St","Manhattan","10:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Aep13M2z7VkF3Ub0bCMoCw/ls.jpg"
"Mad For Chicken","1872","4 star rating","(718) 321-3818","Medium","Korean、 Chicken Wings、 Gastropubs","Murray Hill","157-18 Northern Blvd","Queen","11:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/wkC4-Ih-VmmnQrTx4bCvag/ls.jpg"
"Sylvia’s Restaurant","1866","3.5 star rating","(212) 996-0660","Medium","Southern、 Soul Food、 Seafood","Harlem","328 Malcolm X Blvd","Manhattan","8:00 AM - 10:30 PM","Takeout、Sit-down dining、Outdoor seating","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/bB8nCnQIG9gQLt6jIlA6gw/ls.jpg"
"Sarabeths - Central Park","1834","3.5 star rating","(212) 826-5959","Medium","Breakfast & Brunch、 American (Traditional)、 Cocktail Bars","Midtown West","40 Central Park S","Manhattan","8:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/6mHMwDA0YksJQt88Nm7u0g/ls.jpg"
"Yuca Bar","1833","4 star rating","(212) 982-9533","Medium","Latin American、 Tapas Bars、 Cocktail Bars","East Village","111 Avenue A","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/jP2eHFr9p6EOzDOFh7es3A/ls.jpg"
"Zen Ramen & Sushi","1824","4.5 star rating","(646) 870-7509","Medium","Sushi Bars、 Ramen、 Salad","Midtown West","150 W 36th street","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/-W7fV5FcFuq-KGw_IT_fow/ls.jpg"
"Dallas BBQ","1796","3 star rating","(212) 221-9000","Medium","Barbeque、 American (Traditional)","Midtown West","241 W 42nd St","Manhattan","11:00 AM - 1:30 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/RZbfuQrjihJFH9q1dYjtUg/ls.jpg"
"Sushi Yasaka","1794","4 star rating","(212) 496-8460","Medium","Japanese、 Sushi Bars","Upper West Side","251 W 72nd St","Manhattan","12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/_U6FaHQbA_44sUQBVlI9_Q/ls.jpg"
"Golden Unicorn","1793","3.5 star rating","(212) 941-0911","Medium","Dim Sum、 Cantonese","Chinatown","18 E Broadway","Manhattan","9:30 AM - 8:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/jfQVal9u0RMr03xX6GkPsA/ls.jpg"
"Buvette","1792","4 star rating","(212) 255-3590","Medium","French、 Wine Bars、 Cocktail Bars","West Village","42 Grove St","Manhattan","8:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/UqIVpvNkryz5GJi3LedwFQ/ls.jpg"
"Please Don’t Tell","1788","4 star rating","(212) 614-0386","High","Lounges、 Speakeasies","East Village","113 St Marks Pl","Manhattan","6:00 PM - 3:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/zk1RQhSYBQ7Dy9-QyDaVSQ/ls.jpg"
"Tanner Smiths","1788","4.5 star rating","(646) 590-2034","Medium","Cocktail Bars、 American (New)、 Beer Bar","Midtown West","204 W 55th St","Manhattan","12:00 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/PN_BcUZc15I9PuT2bF_mjw/ls.jpg"
"Ayza Wine & Chocolate Bar","1786","4 star rating","(212) 714-2992","Medium","Wine Bars、 Desserts、 Mediterranean","Koreatown","11 W 31st St","Manhattan","11:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/NBmSmFpDQudnoawfw8pdrw/ls.jpg"
"McSorleys Old Ale House","1781","4.5 star rating","(212) 473-9148","Low","Dive Bars、 Breweries、 Beer Bar","East Village","15 E 7th St","Manhattan","11:00 AM - 1:00 AM (Next day)","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/rMVnbtW504_4qK93_9Fy9w/ls.jpg"
"Mighty Quinn’s Barbeque","1778","4 star rating","(212) 677-3733","Medium","Barbeque","East Village","103 2nd Ave","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/m5s9mIn8YTJhGrVCrCieJA/ls.jpg"
"Sakagura","1775","4 star rating","(212) 953-7253","High","Japanese","Midtown East","211 E 43rd St","Manhattan","5:30 PM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Cx5kE2hR-Lm0OrmM1NW-nQ/ls.jpg"
"Sugar Freak","1772","4 star rating","(718) 606-1900","Medium","Cajun/Creole、 Southern、 Breakfast & Brunch","Astoria","37-11 30th Ave","Queen","11:00 AM - 9:30 PM","Delivery、Takeout、Sit-down dining、Indoor dining、Heated outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/urVAX5bVPQxTSzgT2b96LQ/ls.jpg"
"Claw Daddy’s","1739","4 star rating","(646) 590-6816","Medium","Cajun/Creole、 Seafood","Lower East Side","185 Orchard St","Manhattan","12:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/RCru71cTtO-TtqRw50rc2w/ls.jpg"
"Junior’s Restaurant","1738","3.5 star rating","(718) 852-5257","Medium","Bakeries、 Diners","Downtown Brooklyn","386 Flatbush Ave Ext","Brooklyn","7:00 AM - 8:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/mBVNSGr-lo3KwawQ8ac4QA/ls.jpg"
"JoJu","1736","4.5 star rating","(347) 808-0887","Low","Coffee & Tea、 Vietnamese、 Sandwiches","Elmhurst","83-25 Broadway","Queen","11:00 AM - 8:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/paqM5BvvSF7vqgb4ZKPTdg/ls.jpg"
"Red Bamboo","1718","4 star rating","(212) 260-1212","Medium","Vegetarian、 Soul Food、 Vegan","Greenwich Village","140 W 4th St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/dvbsjK-TA2KpUyMun7T7Nw/ls.jpg"
"Tim Ho Wan","1711","3.5 star rating","(212) 228-2800","Medium","Dim Sum、 Cantonese","East Village","85 4th Ave","Manhattan","11:00 AM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2XTvXWBYR1zpiW1MXAxUZA/ls.jpg"
"Shanghai 21","1709","4 star rating","(212) 766-6311","Medium","Shanghainese","Chinatown","21 Mott St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/1rNQzY87fKHPOEexZIGHGg/ls.jpg"
"Eileen’s Special Cheesecake","1703","4.5 star rating","(212) 966-5585","Low","Bakeries、 Desserts","Nolita","17 Cleveland Pl","Manhattan","11:00 AM - 7:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/WvcJXhOFpDWdcO-ZVXee4g/ls.jpg"
