"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Num Pang Kitchen","1395","4 star rating","(646) 791-0439","Medium","Cambodian、 Sandwiches","Union Square","28 E 12th St","Manhattan","11:00 AM - 8:00 PM",,"false","false"
"Ootoya Chelsea","1410","4 star rating","(212) 255-0018","Medium","Sushi Bars、 Hot Pot、 Japanese Curry","Flatiron","8 W 18th St","Manhattan","11:30 AM - 3:00 PM, 5:00 PM - 9:00 PM",,"false","false"
"Carmine’s Italian Restaurant - Upper West Side","1415","4 star rating","(212) 362-2200","Medium","Italian、 Desserts、 Seafood","Upper West Side","2450 Broadway","Manhattan","11:30 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"One If By Land Two If By Sea","1417","3.5 star rating","(212) 255-8649","Very High","American (New)","West Village","17 Barrow St","Manhattan","5:00 PM - 10:00 PM",,"false","false"
"Kesté Pizza & Vino","1418","4 star rating","(212) 243-1500","Medium","Pizza、 Italian、 Wine Bars","Financial District","66 Gold S","Manhattan","11:30 AM - 9:00 PM","Delivery、Takeout、Covered outdoor seating、Heated outdoor seating、Indoor dining、Curbside pickup","true","true"
"Sushi Nakazawa","1421","4.5 star rating","(212) 924-2212","Very High","Japanese、 Sushi Bars","West Village","23 Commerce St","Manhattan","11:30 AM - 1:30 PM, 5:00 PM - 10:15 PM","Sit-down dining、Indoor dining","false","false"
"Del Posto","1431","4 star rating","(212) 497-8090","Very High","Italian","Meatpacking District","85 10th Ave","Manhattan","12:00 PM - 2:00 PM, 5:30 PM - 11:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Good Enough to Eat","1439","3.5 star rating","(212) 496-0163","Medium","Breakfast & Brunch、 American (Traditional)、 Comfort Food","Upper West Side","520 Columbus Ave","Manhattan","8:00 AM - 4:00 PM, 5:30 PM - 10:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Don Antonio","1442","4 star rating","(646) 719-1043","Medium","Pizza、 Italian、 Cocktail Bars","Theater District","309 W 50th St","Manhattan","10:30 AM - 9:45 PM",,"false","false"
"STK Steakhouse Downtown NYC","1442","3.5 star rating","(646) 624-2444","High","Steakhouses、 American (New)、 Cocktail Bars","Meatpacking District","26 Little West 12th St","Manhattan","3:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Basta Pasta","1446","4 star rating","(212) 366-0888","Medium","Italian、 Japanese","Flatiron","37 W 17th St","Manhattan","5:00 PM - 9:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Employees Only","1446","4 star rating","(212) 242-3021","High","American (New)、 Cocktail Bars、 Desserts","West Village","510 Hudson St","Manhattan","4:00 PM - 12:00 AM (Next day)","Outdoor seating、Sit-down dining","false","false"
"Big Wong","1455","3.5 star rating","(212) 964-0540","Low","Chinese、 Seafood","Chinatown","67 Mott St","Manhattan","9:00 AM - 6:00 PM",,"false","false"
"Bubby’s Tribeca","1454","3.5 star rating","(212) 219-0666","Medium","American (Traditional)、 Breakfast & Brunch、 Sandwiches","TriBeCa","120 Hudson St","Manhattan","8:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"The MasalaWala","1506","4.5 star rating","(212) 358-9300","Medium","Indian、 Vegetarian、 Halal","Lower East Side","179 Essex St","Manhattan","5:00 PM - 10:00 PM",,"false","false"
"Dhaba Indian Cuisine","1491","3.5 star rating","(212) 679-1284","Medium","Indian、 Buffets","Flatiron","108 Lexington Ave","Manhattan","12:00 PM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Junoon","1481","3.5 star rating","(212) 490-2100","High","Indian、 Desserts、 Wine Bars","Flatiron","27 W 24th St","Manhattan","1:00 PM - 10:00 PM",,"false","false"
"Brooklyn Bagel & Coffee Company","1476","4 star rating","(212) 924-2824","Low","Bagels、 Breakfast & Brunch、 Cafes","Chelsea","286 8th Ave","Manhattan","6:30 AM - 4:30 PM","Delivery、Takeout","true","true"
"Rosa Mexicano","1469","3.5 star rating","(212) 533-3350","Medium","Mexican","Flatiron","9 E 18th St","Manhattan","11:30 AM - 9:30 PM","Delivery、Takeout、Sit-down dining、Indoor dining、Curbside pickup、Private dining","true","true"
"La Lanterna Di Vittorio","1474","4 star rating","(917) 639-3236","Medium","Italian、 Cafes、 Pizza","Greenwich Village","129 MacDougal St","Manhattan","10:00 AM - 10:00 PM",,"false","false"
"Go Go Curry Times Square","1462","4 star rating","(212) 730-5555","Medium","Japanese Curry、 Comfort Food","Midtown West","273 W 38th Street","Manhattan","11:00 AM - 8:00 PM",,"false","false"
"Five Senses","1462","4 star rating","(212) 441-0005","Medium","Korean、 Barbeque","Koreatown","9 W 32nd St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Anytime","1465","4.5 star rating","(646) 669-7733","Medium","Korean、 American (New)、 Tapas/Small Plates","Koreatown","23 W 32nd St","Manhattan","4:00 PM - 12:00 AM (Next day)",,"false","false"
"Banh Mi Saigon","1514","4 star rating","(212) 941-1541","Low","Vietnamese、 Sandwiches","Little Italy","198 Grand St","Manhattan","10:00 AM - 5:00 PM",,"false","false"
"Corner Bistro","1522","3.5 star rating","(212) 242-9502","Medium","American (Traditional)、 Burgers、 Dive Bars","West Village","331 W 4th St","Manhattan","8:00 AM - 11:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Top Thai Greenwich","1523","4.5 star rating","(646) 726-4418","Medium","Thai、 Cocktail Bars、 Halal","Greenwich Village","235 Sullivan St","Manhattan","11:00 AM - 9:45 PM",,"false","false"
"The Kati Roll Company","1531","3.5 star rating","(212) 730-4280","Low","Indian、 Halal","Midtown West","49 W 39th St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout","true","true"
"Wah Fung No 1","1531","4.5 star rating","(212) 925-5175","Low","Chinese、 Fast Food","Lower East Side","79 Chrystie St","Manhattan","9:00 AM - 7:00 PM","Social distancing enforced、Staff wears masks、Masks required、Staff wears gloves","false","false"
"Boka","1542","3.5 star rating","(646) 678-5796","Medium","Korean","East Village","9 St Marks Pl","Manhattan","11:00 AM - 2:45 AM (Next day)",,"false","false"
"Pocha 32","1535","3.5 star rating","(212) 279-1876","Medium","Korean、 Barbeque、 Noodles","Koreatown","15 W 32nd St","Manhattan","4:00 PM - 11:00 PM",,"false","false"
"Lupa","1558","4 star rating","(212) 982-5089","High","Italian","Greenwich Village","170 Thompson St","Manhattan","4:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Kenka","1544","3.5 star rating","(212) 254-6363","Medium","Sushi Bars、 Japanese","East Village","25 St Marks Pl","Manhattan","6:00 PM - 1:00 AM (Next day)","Delivery、Takeout","true","true"
"BoCaphe","1550","4 star rating","(646) 882-1939","Medium","Vietnamese、 Breakfast & Brunch、 French","SoHo","222 Lafayette St","Manhattan","9:30 AM - 11:00 PM",,"false","false"
"Spice","1550","3.5 star rating","(212) 982-3758","Medium","Thai、 Cocktail Bars","Union Square","39 E 13th St","Manhattan","11:30 AM - 4:15 PM, 5:30 PM - 10:30 PM","Delivery、Takeout","true","true"
"Dutch Freds","1590","4.5 star rating","(646) 918-6923","Medium","Cocktail Bars、 American (New)、 Breakfast & Brunch","Theater District","307 W 47th St","Manhattan","4:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Yakitori Taisho","1585","3.5 star rating","(212) 228-5086","Medium","Japanese","East Village","5 St Marks Pl","Manhattan","6:00 PM - 2:00 AM (Next day)","Outdoor seating、Sit-down dining、Indoor dining","false","false"
"The Mercer Kitchen","1581","3.5 star rating","(212) 966-5454","Medium","American (New)、 French、 Cocktail Bars","SoHo","99 Prince St","Manhattan","7:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Boucherie West Village","1576","4.5 star rating","(212) 837-1616","High","French、 Cocktail Bars、 Steakhouses","West Village","99 7th Ave S","Manhattan","11:00 AM - 11:00 PM",,"false","false"
"Congee Village","1606","3.5 star rating","(212) 941-1818","Medium","Cantonese、 Seafood","Lower East Side","100 Allen St","Manhattan","11:00 AM - 8:00 PM",,"false","false"
"La Sirène-Soho","1611","4.5 star rating","(212) 925-3061","High","French","South Village","558 Broome St","Manhattan","4:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Barn Joo","1643","4 star rating","(646) 398-9663","Medium","Korean、 Cocktail Bars、 Tapas/Small Plates","Union Square","35 Union Sq W","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"Daniel","1632","4.5 star rating","(212) 288-0033","Very High","French、 Bars、 American (New)","Upper East Side","60 E 65th St","Manhattan","5:00 PM - 10:00 PM",,"false","false"
"Tasty Hand-Pulled Noodles","1629","4 star rating","(212) 791-1817","Low","Chinese、 Noodles","Chinatown","1 Doyers St","Manhattan","10:30 AM - 10:30 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Pig and Khao","1657","4 star rating","(212) 920-4485","Medium","Filipino、 Thai、 Asian Fusion","Lower East Side","68 Clinton St","Manhattan","5:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Momosan Ramen & Sake - New York","1658","4 star rating","(646) 201-5529","Medium","Ramen、 Tapas/Small Plates","Murray Hill","342 Lexington Ave","Manhattan","11:30 AM - 3:00 PM, 5:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Sugar Factory","1631","3.5 star rating","Unknown","High","Desserts、 Candy Stores、 American (Traditional)","Unknown","835 Washington St","Manhattan","11:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout","true","true"
"Locanda Verde","1650","4 star rating","(212) 925-3797","High","Italian、 Cocktail Bars、 Breakfast & Brunch","TriBeCa","377 Greenwich St","Manhattan","5:30 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Minca","1674","4 star rating","(212) 505-8001","Medium","Ramen","East Village","536 E 5th St","Manhattan","12:00 PM - 8:30 PM","Outdoor seating、Sit-down dining、Indoor dining","false","false"
"Poco - NYC","1678","3.5 star rating","(212) 228-4461","Medium","Tapas Bars、 Spanish","Alphabet City","33 Avenue B","Manhattan","5:00 PM - 10:00 PM",,"false","false"
"Adrienne’s Pizzabar","1673","4 star rating","(212) 248-3838","Medium","Pizza、 Italian、 Beer Bar","Financial District","54 Stone St","Manhattan","11:30 AM - 11:00 PM","Delivery、Takeout","true","true"
"Lure Fishbar","1674","4 star rating","(212) 431-7676","High","Seafood、 Sushi Bars、 Bars","SoHo","142 Mercer St","Manhattan","11:30 AM - 9:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Café China","1670","4 star rating","(212) 213-2810","Medium","Szechuan","Midtown East","13 E 37th St","Manhattan","11:00 AM - 10:00 PM",,"false","false"
"Sweet Chick","1679","4 star rating","(646) 657-0233","Medium","Southern、 Breakfast & Brunch、 American (Traditional)","Lower East Side","178 Ludlow St","Manhattan","12:00 PM - 10:00 PM",,"false","false"
"Sarabeths - Central Park","1826","3.5 star rating","(212) 826-5959","Medium","Breakfast & Brunch、 American (Traditional)、 Cocktail Bars","Midtown West","40 Central Park S","Manhattan","9:00 AM - 9:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Zen Ramen & Sushi","1818","4.5 star rating","(646) 870-7509","Medium","Sushi Bars、 Ramen、 Salad","Midtown West","150 W 36th street","Manhattan","11:30 AM - 10:00 PM",,"false","false"
"Yuca Bar","1826","4 star rating","(212) 982-9533","Medium","Latin American、 Tapas Bars、 Cocktail Bars","East Village","111 Avenue A","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Gyu-Kaku Japanese BBQ","1680","4 star rating","(212) 475-2989","High","Japanese、 Barbeque、 Asian Fusion","NoHo","34 Cooper Sq","Manhattan","11:00 AM - 9:00 PM",,"false","false"
"Mighty Quinn’s Barbeque","1773","4 star rating","(212) 677-3733","Medium","Barbeque","East Village","103 2nd Ave","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Sushi Yasaka","1788","4 star rating","(212) 496-8460","Medium","Japanese、 Sushi Bars","Upper West Side","251 W 72nd St","Manhattan","12:00 PM - 3:00 PM, 5:00 PM - 9:30 PM",,"false","false"
"Ayza Wine & Chocolate Bar","1767","4 star rating","(212) 714-2992","Medium","Wine Bars、 Desserts、 Mediterranean","Koreatown","11 W 31st St","Manhattan","4:00 PM - 10:00 PM",,"false","false"
"Pokeworks","1736","4 star rating","(212) 575-8881","Medium","Sushi Bars、 Poke、 Salad","Midtown West","63 W 37th St","Manhattan","11:00 AM - 9:00 PM","Drive-thru、Outdoor seating、Delivery、Takeout、Indoor dining、Curbside pickup","true","true"
"Claw Daddy’s","1730","4 star rating","(646) 590-6816","Medium","Cajun/Creole、 Seafood","Lower East Side","185 Orchard St","Manhattan","2:00 PM - 10:00 PM",,"false","false"
"Red Bamboo","1717","4 star rating","(212) 260-1212","Medium","Vegetarian、 Soul Food、 Vegan","Greenwich Village","140 W 4th St","Manhattan","12:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Shanghai 21","1701","4 star rating","(212) 766-6311","Medium","Shanghainese","Chinatown","21 Mott St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true"
